id,id_docente,Column1,nu_ano,nu_ano_censo,nu_ano_conclusao_1,nu_ano_conclusao_3,nu_idade,in_profissionalizante,in_regular,in_superdotacao,in_surdez,in_surdocegueira,nome_escola_id,in_pos_nenhum,in_mestrado,nu_mes,tp_ensino_medio,tp_escolaridade,tp_etapa_ensino,tp_local_resid_diferenciada,tp_situacao_curso_1,tp_situacao_curso_2,tp_situacao_curso_3,tp_tipo_contratacao,tp_tipo_docente,tp_tipo_ies_1,tp_tipo_ies_2,tp_tipo_ies_3,in_especializacao,in_especial_exclusiva,in_eja,in_doutorado,in_disc_sociologia,in_disc_quimica,in_disc_profissionalizante,in_disc_port_segunda_lingua,in_disc_pedagogicas,in_disc_outras,in_disc_matematica,in_disc_lingua_portuguesa,in_disc_lingua_outra,in_disc_lingua_indigena,in_disc_lingua_frances,in_disc_lingua_espanhol,in_disc_libras,in_disc_informatica_computacao,in_disc_historia,in_disc_geografia,in_disc_filosofia,in_disc_estudos_sociais,in_disc_estagio_supervisionado,in_disc_est_sociais_sociologia,in_disc_lingua_ingles,in_disc_fisica,in_disc_ensino_religioso,in_disc_educacao_fisica,in_def_auditiva,in_def_fisica,in_def_intelectual,in_def_multipla,in_disc_artes,in_disc_biologia,in_disc_ciencias,in_cegueira,in_baixa_visao,in_autismo,co_area_compl_pedagogica_1,co_area_compl_pedagogica_2,co_area_compl_pedagogica_3,co_area_curso_1,co_area_curso_2,co_area_curso_3,co_curso_1,co_curso_2,co_curso_3,co_curso_educ_profissional,co_ies_1,co_ies_2,co_ies_3,co_municipio_end,co_municipio_nasc,co_pais_origem,co_uf_end,co_uf_nasc
21520,2B523C597C66D6E98B9F5C52859A768D,21520,1971,2019,1997,NA,48,0,1,NA,NA,NA,474,0,0,12,NA,4,27,NA,1,NA,NA,1,1,NA,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,142P01,NA,NA,NA,9999999,NA,NA,2927408,2927408,76,29,29
21521,2B523C597C66D6E98B9F5C52859A768D,21521,1971,2019,1997,NA,48,0,1,NA,NA,NA,474,0,0,12,NA,4,20,NA,1,NA,NA,1,1,NA,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,142P01,NA,NA,NA,9999999,NA,NA,2927408,2927408,76,29,29
21522,2B523C597C66D6E98B9F5C52859A768D,21522,1971,2019,1997,NA,48,0,1,NA,NA,NA,474,0,0,12,NA,4,26,NA,1,NA,NA,1,1,NA,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,142P01,NA,NA,NA,9999999,NA,NA,2927408,2927408,76,29,29
21523,2B523C597C66D6E98B9F5C52859A768D,21523,1971,2019,1997,NA,48,0,1,NA,NA,NA,474,0,0,12,NA,4,19,NA,1,NA,NA,1,1,NA,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,142P01,NA,NA,NA,9999999,NA,NA,2927408,2927408,76,29,29
21524,2B523C597C66D6E98B9F5C52859A768D,21524,1971,2019,1997,NA,48,0,1,NA,NA,NA,474,0,0,12,NA,4,19,NA,1,NA,NA,1,1,NA,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,142P01,NA,NA,NA,9999999,NA,NA,2927408,2927408,76,29,29
26893,358C212F9DAF042360ADA404765C3E28,26893,1958,2019,1997,NA,61,0,1,NA,NA,NA,474,0,1,11,NA,4,27,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,999990,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
26894,358C212F9DAF042360ADA404765C3E28,26894,1958,2019,1997,NA,61,0,1,NA,NA,NA,474,0,1,11,NA,4,20,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9,NA,NA,999990,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
26895,358C212F9DAF042360ADA404765C3E28,26895,1958,2019,1997,NA,61,0,1,NA,NA,NA,474,0,1,11,NA,4,27,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,999990,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
26896,358C212F9DAF042360ADA404765C3E28,26896,1958,2019,1997,NA,61,0,1,NA,NA,NA,474,0,1,11,NA,4,20,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9,NA,NA,999990,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
26897,358C212F9DAF042360ADA404765C3E28,26897,1958,2019,1997,NA,61,0,1,NA,NA,NA,474,0,1,11,NA,4,26,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,999990,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
